MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
2017/12/14 0:00,16648,16651,16680,16613,98.95933873
2017/12/14 0:01,16650,16676,16701,16650,81.45798036
2017/12/14 0:02,16676,16688,16770,16676,124.5658162
2017/12/14 0:03,16689,16770,16770,16686,35.94052809
2017/12/14 0:04,16767,16768,16780,16767,71.08812022
2017/12/14 0:05,16768,16699,16768,16686,41.33384298
2017/12/14 0:06,16699,16706,16706,16667,40.1126371
2017/12/14 0:07,16706,16741,16748,16706,58.3474032
2017/12/14 0:08,16748,16760,16760,16698,89.40457883
2017/12/14 0:09,16760,16760,16769.10514,16676,115.008036
2017/12/14 0:10,16764,16745,16765,16705,42.76092244
2017/12/14 0:11,16730,16742,16752,16689,63.18624388
2017/12/14 0:12,16743,16759,16764,16736,67.7010438
2017/12/14 0:13,16759,16770,16777,16748,37.20979786
2017/12/14 0:14,16777,16840,16843,16770,128.6457641
2017/12/14 0:15,16843,16880,16880,16841,100.6514846
2017/12/14 0:16,16880,16946,16947,16877,155.3439384
2017/12/14 0:17,16931,16901,16950,16900,85.86552974
2017/12/14 0:18,16900,16920,16930,16899,53.71203563
2017/12/14 0:19,16920,16940,16940,16890,86.10683256
2017/12/14 0:20,16938,16955,16963,16920,113.5828426
2017/12/14 0:21,16963,16990,16999,16955,166.1674153
2017/12/14 0:22,16992,16999,16999,16992,118.466499
2017/12/14 0:23,16999,16998,16999,16996,43.49730401
2017/12/14 0:24,16997,16924,16999,16910,142.3946844
2017/12/14 0:25,16923,16824,16924,16778,149.5166762
2017/12/14 0:26,16825,16739,16825,16738,83.74011796
2017/12/14 0:27,16740,16701,16780,16546,237.330952
2017/12/14 0:28,16720,16798,16799,16702,78.66017583
2017/12/14 0:29,16792,16826,16828,16791,41.74336906
2017/12/14 0:30,16820,16811,16834,16800,35.3342549
2017/12/14 0:31,16823,16830,16947,16801,172.5540409
2017/12/14 0:32,16843,16869,16887,16833,26.31435096
2017/12/14 0:33,16864,16797,16885,16793,48.61975212
2017/12/14 0:34,16811,16820,16843,16794,47.65194368
2017/12/14 0:35,16818,16744,16819,16743,44.47921355
2017/12/14 0:36,16769,16770,16779,16748,14.4702685
2017/12/14 0:37,16767,16750,16780,16747,35.44530415
2017/12/14 0:38,16749,16720,16798,16713,71.03632556
2017/12/14 0:39,16720,16639,16780,16600,143.4224991
2017/12/14 0:40,16615,16633,16665,16550.04873,76.00625844
2017/12/14 0:41,16635,16721,16742,16620,69.51546994
2017/12/14 0:42,16721,16702,16730,16668,21.55918306
2017/12/14 0:43,16713,16672,16713,16668,30.43396008
2017/12/14 0:44,16670,16657,16678,16650,31.55807933
2017/12/14 0:45,16664,16645,16676,16642,21.48867836
2017/12/14 0:46,16641,16640,16646,16625,19.52972688
2017/12/14 0:47,16640,16635,16648,16610,38.6231788
2017/12/14 0:48,16638,16611,16666,16611,18.50901674
2017/12/14 0:49,16617,16648,16669,16616,16.30002487
2017/12/14 0:50,16648,16716,16798,16648,78.65304652
2017/12/14 0:51,16717,16742,16770,16713,51.22768519
2017/12/14 0:52,16741,16742,16770,16728,16.41412303
2017/12/14 0:53,16743,16753,16789,16737,18.40983456
2017/12/14 0:54,16751,16700,16751,16700,17.03637279
2017/12/14 0:55,16724,16710,16740,16685,18.00347381
2017/12/14 0:56,16699,16620,16700,16619,53.3031422
2017/12/14 0:57,16620,16638,16660,16611,16.68874422
2017/12/14 0:58,16638,16643,16664,16636,14.22872807
2017/12/14 0:59,16644,16630,16646,16624,13.85080341
2017/12/14 1:00,16630,16639,16643,16624,10.03512322
2017/12/14 1:01,16640,16637,16672,16633,16.21758504
2017/12/14 1:02,16640,16616,16660.33306,16611,10.08132979
2017/12/14 1:03,16615,16658,16658,16610,14.35402335
2017/12/14 1:04,16670,16682,16682,16660,14.77896284
2017/12/14 1:05,16670,16644,16689,16644,22.3301772
2017/12/14 1:06,16644,16625,16660,16610,12.94297992
2017/12/14 1:07,16626,16637,16648,16619,7.50398205
2017/12/14 1:08,16638,16646,16656,16630,6.0790324
2017/12/14 1:09,16643,16679,16685,16642,2.50004202
2017/12/14 1:10,16675,16679,16700,16671,3.21347759
2017/12/14 1:11,16681,16690,16700,16681,8.31079066
2017/12/14 1:12,16689,16684,16700,16680,11.67910881
2017/12/14 1:13,16683,16694,16700,16680,25.79169743
2017/12/14 1:14,16695,16691,16696,16685,15.02443227
2017/12/14 1:15,16692,16679,16692,16678,26.81397945
2017/12/14 1:16,16678,16668,16679,16652,14.74858154
2017/12/14 1:17,16661,16687,16687,16646,17.96964021
2017/12/14 1:18,16680,16671,16690,16670,18.55075278
2017/12/14 1:19,16671,16699,16699,16671,14.98555356
2017/12/14 1:20,16698,16699,16700,16698,25.04606334
2017/12/14 1:21,16699,16684,16700,16672,14.92023704
2017/12/14 1:22,16685,16700,16700,16681,28.92399176
2017/12/14 1:23,16699,16699,16700,16695,34.73006489
2017/12/14 1:24,16700,16700,16700,16691,20.02272118
2017/12/14 1:25,16700,16700,16700,16699,13.00441076
2017/12/14 1:26,16699,16699,16719,16699,27.64999121
2017/12/14 1:27,16700,16627,16700,16602,35.64727427
2017/12/14 1:28,16625,16633,16668,16625,17.45038476
2017/12/14 1:29,16633,16615,16634,16601,19.68533796
2017/12/14 1:30,16615,16629,16631,16614,7.78797433
2017/12/14 1:31,16629,16641,16647,16610,11.03914953
2017/12/14 1:32,16640,16656,16657,16639,15.78712417
2017/12/14 1:33,16651,16649,16658.76208,16648,35.26561206
2017/12/14 1:34,16641,16634,16651,16615,20.51061272
2017/12/14 1:35,16636,16622,16642,16622,25.54722697
2017/12/14 1:36,16622,16585,16623,16571,28.37230979
2017/12/14 1:37,16583,16550,16590,16543,37.7609297
2017/12/14 1:38,16549,16511,16563,16509,47.50391333
2017/12/14 1:39,16510,16525,16531,16509,23.52007588
2017/12/14 1:40,16529,16531,16555,16525,29.61873889
2017/12/14 1:41,16530,16448,16531,16423,51.82537206
2017/12/14 1:42,16448,16413,16450,16412,31.64517541
2017/12/14 1:43,16412,16401,16428,16401,69.4661847
2017/12/14 1:44,16410,16434,16466,16401,75.26197984
2017/12/14 1:45,16437,16408,16459,16402,28.98085273
2017/12/14 1:46,16408,16390,16408,16390,44.26116116
2017/12/14 1:47,16390,16383,16416,16362,49.1664764
2017/12/14 1:48,16382,16459,16459,16362,58.73216393
2017/12/14 1:49,16458,16458,16497,16420,41.39150547
2017/12/14 1:50,16458,16436,16461,16430,23.8225975
2017/12/14 1:51,16437.59144,16394,16438,16394,44.51313201
2017/12/14 1:52,16400,16406,16435,16394,12.65498528
2017/12/14 1:53,16394,16395,16400,16381,34.65935395
2017/12/14 1:54,16404,16362,16435,16352,23.80121624
2017/12/14 1:55,16361,16369,16410,16352,34.98911328
2017/12/14 1:56,16369,16351,16381,16343,10.82953715
2017/12/14 1:57,16350,16369,16381,16350,6.4542548
2017/12/14 1:58,16368,16346,16395,16346,31.61254774
2017/12/14 1:59,16349,16338,16351,16333,35.96915763
2017/12/14 2:00,16338,16345,16365,16333,28.6992941
2017/12/14 2:01,16345,16400,16415,16344,31.6982858
2017/12/14 2:02,16400,16400,16421,16388,16.66986741
2017/12/14 2:03,16401,16379,16401,16370,9.9303227
2017/12/14 2:04,16378,16370,16417,16360,25.83886345
2017/12/14 2:05,16365,16421,16446,16365,62.3946401
2017/12/14 2:06,16421,16436,16470,16414,23.21903479
2017/12/14 2:07,16435.27959,16430,16458,16425,19.22386213
2017/12/14 2:08,16425,16418,16425,16416,6.78123937
2017/12/14 2:09,16421,16416,16435,16415,26.43549698
2017/12/14 2:10,16420,16403,16423,16402,31.41845078
2017/12/14 2:11,16403,16362,16403,16350,28.36072657
2017/12/14 2:12,16361,16337,16378,16331,31.86763594
2017/12/14 2:13,16331,16331,16340,16330,28.82859409
2017/12/14 2:14,16331,16331,16347,16324,20.75941614
2017/12/14 2:15,16332,16376,16386,16327,18.53785898
2017/12/14 2:16,16376,16396,16410,16376,22.27563524
2017/12/14 2:17,16399,16407,16410,16396,12.80919143
2017/12/14 2:18,16407,16400,16426,16400,33.35408666
2017/12/14 2:19,16400,16361,16401,16360,10.29431649
2017/12/14 2:20,16361,16373,16375,16360,21.90430831
2017/12/14 2:21,16373,16386,16400,16373,6.04575038
2017/12/14 2:22,16381,16370,16400,16370,22.62008681
2017/12/14 2:23,16370,16379,16379,16362,5.41339065
2017/12/14 2:24,16378,16393,16402,16368,31.31390412
2017/12/14 2:25,16402,16417,16444,16401,29.6232877
2017/12/14 2:26,16417,16419,16455,16408,16.1781523
2017/12/14 2:27,16420,16443,16488,16420,21.35944224
2017/12/14 2:28,16441,16454,16475,16426,18.50920729
2017/12/14 2:29,16454,16455,16476,16454,6.04429338
2017/12/14 2:30,16459,16483,16490,16455,24.13246597
2017/12/14 2:31,16484,16484,16489,16470,14.30183139
2017/12/14 2:32,16483,16495,16496,16483,18.03700081
2017/12/14 2:33,16496,16439,16498,16429,36.96804971
2017/12/14 2:34,16444,16470,16475,16443,15.87190227
2017/12/14 2:35,16471,16456,16471,16438,13.60637978
2017/12/14 2:36,16456,16436,16458,16430,27.43134404
2017/12/14 2:37,16435,16448,16448,16432,13.19078303
2017/12/14 2:38,16448,16441,16462,16432,16.96917761
2017/12/14 2:39,16436,16448,16450,16432,10.74737823
2017/12/14 2:40,16440,16427,16447,16425,12.73723577
2017/12/14 2:41,16426,16438,16444,16414,12.88795022
2017/12/14 2:42,16437,16482,16493,16437,24.85441378
2017/12/14 2:43,16482,16499,16509,16460,29.17392121
2017/12/14 2:44,16499,16525,16536,16499,43.39614603
2017/12/14 2:45,16525,16498,16532,16478,16.75184438
2017/12/14 2:46,16498,16536,16562,16496,57.84921731
2017/12/14 2:47,16542,16541,16558,16504,8.26962725
2017/12/14 2:48,16557,16510,16557,16509,16.58234678
2017/12/14 2:49,16509,16571,16571,16508,41.87663742
2017/12/14 2:50,16556,16553,16570,16552,30.86224401
2017/12/14 2:51,16553,16603,16658,16540,92.48546633
2017/12/14 2:52,16611,16633,16636.22877,16602,55.2631888
2017/12/14 2:53,16632,16600,16633,16600,41.91910812
2017/12/14 2:54,16603,16572,16604,16551,25.53089245
2017/12/14 2:55,16558,16545,16583,16539,16.78598366
2017/12/14 2:56,16549,16546,16550,16541,10.75352063
2017/12/14 2:57,16546,16531,16547,16531,60.20975195
2017/12/14 2:58,16531,16516,16531,16500,40.82484686
2017/12/14 2:59,16517,16527,16530,16512,37.58346264
2017/12/14 3:00,16525,16539,16541,16521,27.47007818
2017/12/14 3:01,16539,16542,16550,16538,40.88312303
2017/12/14 3:02,16544,16551,16567.7506,16543,35.38296418
2017/12/14 3:03,16551,16556,16567,16543,17.93997533
2017/12/14 3:04,16555,16546,16559,16543,14.05907751
2017/12/14 3:05,16546,16546,16550,16523,11.04802362
2017/12/14 3:06,16546,16510,16549,16509,15.19257499
2017/12/14 3:07,16518,16531,16540,16510,39.53099445
2017/12/14 3:08,16531,16515,16540,16500,54.27565634
2017/12/14 3:09,16516,16515,16540,16500,22.35679854
2017/12/14 3:10,16523,16524,16540,16517,9.66123859
